EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121041)
See file sources.txt for more info.



 SOUID,    DATE,   PP, Q_PP
121041,19590212,10328,    0
121041,19590213,10390,    0
121041,19590214,10429,    0
121041,19590215,10455,    0
121041,19590216,10464,    0
121041,19590217,10457,    0
121041,19590218,10415,    0
121041,19590219,10382,    0
121041,19590220,10275,    0
121041,19590221,10240,    0
121041,19590222,10262,    0
121041,19590223,10293,    0
121041,19590224,10280,    0
121041,19590225,10289,    0
121041,19590226,10297,    0
121041,19590227,10309,    0
121041,19590228,10271,    0
121041,19590301,10228,    0
121041,19590302,10203,    0
121041,19590303,10150,    0
121041,19590304,10058,    0
121041,19590305,10041,    0
121041,19590306,10020,    0
121041,19590307,10035,    0
121041,19590308,10119,    0
121041,19590309,10188,    0
121041,19590310,10163,    0
121041,19590311,10105,    0
121041,19590312,10112,    0
121041,19590313,10220,    0
121041,19590314,10289,    0
121041,19590315,10256,    0
121041,19590316,10210,    0
121041,19590317,10219,    0
121041,19590318,10194,    0
121041,19590319,10194,    0
121041,19590320,10197,    0
121041,19590321,10226,    0
121041,19590322,10238,    0
121041,19590323,10271,    0
121041,19590324,10226,    0
121041,19590325,10161,    0
121041,19590326,10164,    0
121041,19590327,10139,    0
121041,19590328,10114,    0
121041,19590329,10121,    0
121041,19590330,10056,    0
121041,19590331,10196,    0
121041,19590401,10280,    0
121041,19590402,10234,    0
121041,19590403,10239,    0
121041,19590404,10164,    0
121041,19590405,10108,    0
121041,19590406,10012,    0
121041,19590407, 9944,    0
121041,19590408, 9967,    0
121041,19590409, 9951,    0
121041,19590410, 9954,    0
121041,19590411,10042,    0
121041,19590412,10096,    0
121041,19590413,10120,    0
121041,19590414,10090,    0
121041,19590415,10085,    0
121041,19590416,10001,    0
121041,19590417, 9980,    0
121041,19590418,10048,    0
121041,19590419,10159,    0
121041,19590420,10266,    0
121041,19590421,10293,    0
121041,19590422,10262,    0
121041,19590423,10206,    0
121041,19590424,10201,    0
121041,19590425,10156,    0
121041,19590426,10096,    0
121041,19590427,10079,    0
121041,19590428,10051,    0
121041,19590429,10064,    0
121041,19590430,10050,    0
121041,19590501,10174,    0
121041,19590502,10194,    0
121041,19590503,10192,    0
121041,19590504,10167,    0
121041,19590505,10215,    0
121041,19590506,10220,    0
121041,19590507,10192,    0
121041,19590508,10120,    0
121041,19590509,10058,    0
121041,19590510,10073,    0
121041,19590511,10159,    0
121041,19590512,10228,    0
121041,19590513,10271,    0
121041,19590514,10235,    0
121041,19590515,10214,    0
121041,19590516,10202,    0
121041,19590517,10164,    0
121041,19590518,10129,    0
121041,19590519,10130,    0
121041,19590520,10131,    0
121041,19590521,10126,    0
121041,19590522,10148,    0
121041,19590523,10193,    0
121041,19590524,10213,    0
121041,19590525,10209,    0
121041,19590526,10201,    0
121041,19590527,10190,    0
121041,19590528,10173,    0
121041,19590529,10140,    0
121041,19590530,10133,    0
121041,19590531,10141,    0
121041,19590601,10185,    0
121041,19590602,10252,    0
121041,19590603,10240,    0
121041,19590604,10186,    0
121041,19590605,10133,    0
121041,19590606,10135,    0
121041,19590607,10160,    0
121041,19590608,10182,    0
121041,19590609,10155,    0
121041,19590610,10214,    0
121041,19590611,10273,    0
121041,19590612,10302,    0
121041,19590613,10308,    0
121041,19590614,10325,    0
121041,19590615,10248,    0
121041,19590616,10212,    0
121041,19590617,10179,    0
121041,19590618,10164,    0
121041,19590619,10217,    0
121041,19590620,10229,    0
121041,19590621,10195,    0
121041,19590622,10196,    0
